RptDt;TckrSymb;MktNm;SctyCtgyNm;TradgStartDt;TradgEndDt;ISIN;TradgCcy;SpcfctnCd;CrpnNm
21/09/21;003H11;EQUITY-CASH;FUNDS;31/12/99;31/12/99;BR003HCTF006;BRL;CI;KINEA CO-INVESTIMENTO FDO INV IMOB
21/09/21;2WAV3;EQUITY-CASH;SHARES;31/12/99;31/12/99;BR2WAVACNOR8;BRL;ON;2W ENERGIA S.A.
21/09/21;A1AP34;EQUITY-CASH;BDR;16/09/21;31/12/99;BRA1APBDR001;BRL;DRN ED;ADVANCE AUTO PARTS INC
21/09/21;A1BB34;EQUITY-CASH;BDR;29/03/21;31/12/99;BRA1BBBDR009;BRL;DRN;ABB LTD
21/09/21;A1BM34;EQUITY-CASH;BDR;27/01/20;31/12/99;BRA1BMBDR006;BRL;DRN;ABIOMED Inc
21/09/21;A1CR34;EQUITY-CASH;BDR;06/09/21;31/12/99;BRA1CRBDR003;BRL;DRN;AMCOR PLC
21/09/21;A1DI34;EQUITY-CASH;BDR;26/08/21;31/12/99;BRA1DIBDR000;BRL;DRN;ANALOG DEVICES INC
21/09/21;A1DM34;EQUITY-CASH;BDR;17/08/21;31/12/99;BRA1DMBDR002;BRL;DRN;ARCHER-DANIELS-MIDLAND CO
21/09/21;A1EE34;EQUITY-CASH;BDR;06/09/21;31/12/99;BRA1EEBDR007;BRL;DRN;AMEREN CORP
21/09/21;A1EG34;EQUITY-CASH;BDR;26/08/21;31/12/99;BRA1EGBDR002;BRL;DRN;AEGON NV
21/09/21;A1EN34;EQUITY-CASH;BDR;29/07/21;31/12/99;BRA1ENBDR008;BRL;DRN;ALLIANT ENERGY CORP
21/09/21;A1EP34;EQUITY-CASH;BDR;09/08/21;31/12/99;BRA1EPBDR003;BRL;DRN;AMERICAN ELECTRIC POWER CO INC
21/09/21;A1ES34;EQUITY-CASH;BDR;30/07/21;31/12/99;BRA1ESBDR007;BRL;DRN;AES CORP
21/09/21;A1FL34;EQUITY-CASH;BDR;17/08/21;31/12/99;BRA1FLBDR009;BRL;DRN;AFLAC INC
21/09/21;A1GI34;EQUITY-CASH;BDR;05/07/21;31/12/99;BRA1GIBDR003;BRL;DRN;AGILENT TECHNOLOGIES INC
21/09/21;A1GN34;EQUITY-CASH;BDR;15/09/21;31/12/99;BRA1GNBDR003;BRL;DRN ED;ALLEGION PLC
21/09/21;A1IV34;EQUITY-CASH;BDR;17/12/20;31/12/99;BRA1IVBDR002;BRL;DRN;APARTMENT INVESTMENT & MANAGEMENT CO
21/09/21;A1JG34;EQUITY-CASH;BDR;02/09/21;31/12/99;BRA1JGBDR001;BRL;DRN;ARTHUR J GALLAGHER & CO
21/09/21;A1KA34;EQUITY-CASH;BDR;29/10/20;31/12/99;BRA1KABDR002;BRL;DRN;AKAMAI TECHNOLOGIES INC
21/09/21;A1LB34;EQUITY-CASH;BDR;16/09/21;31/12/99;BRA1LBBDR008;BRL;DRN ED;ALBEMARLE CORP
21/09/21;A1LG34;EQUITY-CASH;BDR;27/01/20;31/12/99;BRA1LGBDR007;BRL;DRN;ALIGN TECHNOLOGY INC
21/09/21;A1LK34;EQUITY-CASH;BDR;17/02/20;31/12/99;BRA1LKBDR009;BRL;DRN;ALASKA AIR GROUP INC
21/09/21;A1LL34;EQUITY-CASH;BDR;12/08/21;31/12/99;BRA1LLBDR007;BRL;DRN;ALLIANCE DATA SYSTEMS CORP
21/09/21;A1LN34;EQUITY-CASH;BDR;13/10/20;31/12/99;BRA1LNBDR003;BRL;DRN;ALNYLAM PHARMACEUTICALS INC
21/09/21;A1MB34;EQUITY-CASH;BDR;13/08/21;31/12/99;BRA1MBBDR006;BRL;DRN;AMERISOURCEBERGEN CORP
21/09/21;A1MD34;EQUITY-CASH;BDR;16/12/19;31/12/99;BRA1MDBDR002;BRL;DRN;ADVANCED MICRO DEVICES INC
21/09/21;A1ME34;EQUITY-CASH;BDR;13/09/21;31/12/99;BRA1MEBDR000;BRL;DRN ED;AMETEK INC
21/09/21;A1MP34;EQUITY-CASH;BDR;06/08/21;31/12/99;BRA1MPBDR006;BRL;DRN;AMERIPRISE FINANCIAL INC
21/09/21;A1MT34;EQUITY-CASH;BDR;25/08/21;31/12/99;BRA1MTBDR008;BRL;DRN;APPLIED MATERIALS INC
21/09/21;A1MX34;EQUITY-CASH;BDR;15/07/21;31/12/99;BRA1MXBDR000;BRL;DRN;AMÉRICA MÓVIL SAB DE CV
21/09/21;A1NE34;EQUITY-CASH;BDR;27/01/20;31/12/99;BRA1NEBDR008;BRL;DRN;ARISTA NETWORKS INC
21/09/21;A1NS34;EQUITY-CASH;BDR;27/01/20;31/12/99;BRA1NSBDR008;BRL;DRN;ANSYS INC
21/09/21;A1NT34;EQUITY-CASH;BDR;09/09/21;31/12/99;BRA1NTBDR006;BRL;DRN;ANTHEM INC
